year,lgID,tmID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won_x,lost_x,GP_x,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,playerID,stint_x,GP_y,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,award,coachID,stint_y,won_y,lost_y,post_wins,post_losses,W,L,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,deathDate
10,WNBA,ATL,ATL,EA,,2,Y,0,L,,,Atlanta Dream,1089,2428,569,755,114,374,404,855,1259,547,741,329,590,121,2861,996,2363,624,807,181,530,353,821,1174,615,700,347,601,133,2797,0,0,0,0,0,0,18,16,34,12,5,6,11,10,12,6950,120737,Philips Arena,mccouan01w,0,34,10,735,435,35,70,105,71,74,12,72,92,336,160,135,100,51,15,2,2,2,58,38,1,10,11,6,2,0,12,7,31,15,6,4,7,4,0,Rookie of the Year,meadoma99w,0,18,16,0,2,0,2,F,0,0,73.0,160,Louisville,,1986-09-10,0000-00-00
1,WNBA,CLE,CLE,EA,,2,Y,0,W,L,,Cleveland Rockers,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,0,0,0,0,0,0,17,15,32,13,3,4,12,13,8,6500,137532,Quicken Loans Arena,mcconsu01w,0,32,32,705,173,9,41,50,119,15,1,69,30,140,58,25,19,97,38,0,6,6,147,39,3,11,14,25,5,1,16,5,45,14,2,2,36,9,0,Kim Perrot Sportsmanship Award,hugheda99w,0,17,15,3,3,3,3,G,0,0,65.0,125,Penn State,,1966-07-29,0000-00-00
5,WNBA,CON,CON,EA,,1,Y,0,W,W,L,Connecticut Sun,876,2051,434,590,149,467,321,724,1045,572,610,299,462,96,2335,858,1996,443,599,145,384,306,757,1063,565,627,239,492,113,2304,0,0,0,0,0,0,18,16,34,10,7,8,9,14,6,6900,114017,Mohegan Sun Arena,palmewe01w,0,33,33,786,297,47,135,182,30,23,5,40,77,253,108,85,68,41,13,0,8,8,156,44,10,25,35,1,3,3,8,11,49,18,8,5,12,3,0,Most Improved Player,thibami99w,0,18,16,5,3,5,3,F,0,0,74.0,165,Virginia,,1974-08-12,0000-00-00
6,WNBA,CON,CON,EA,,1,Y,0,W,W,W,Connecticut Sun,916,2025,512,688,130,373,322,788,1110,573,624,236,452,130,2474,835,2100,452,599,122,400,350,728,1078,495,675,258,442,79,2244,0,0,0,0,0,0,26,8,34,14,3,12,5,13,7,6800,121944,Mohegan Sun Arena,mcwilta01w,0,34,34,1083,471,78,170,248,65,37,25,59,80,364,180,136,107,18,4,1,8,8,284,127,22,53,75,13,9,11,16,23,94,48,38,30,3,1,0,Kim Perrot Sportsmanship Award,thibami99w,0,26,8,5,3,5,3,F-C,0,0,74.0,188,St. Edwards,,1970-10-20,0000-00-00
7,WNBA,CON,CON,EA,,1,Y,0,W,L,,Connecticut Sun,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,0,0,0,0,0,0,26,8,34,14,3,12,5,15,5,6825,126096,Mohegan Sun Arena,douglka01w,0,32,32,1003,525,38,83,121,79,62,4,73,48,404,179,112,94,173,73,0,4,4,125,48,6,9,15,10,4,1,11,1,45,18,5,4,27,8,0,All-Star Game Most Valuable Player,thibami99w,0,26,8,3,2,3,2,G-F,0,0,72.0,167,Purdue,,1979-05-07,0000-00-00
4,WNBA,DET,DET,EA,,1,Y,0,W,W,W,Detroit Shock,902,2004,624,882,125,323,379,851,1230,545,605,263,608,158,2553,911,2286,412,556,161,541,390,674,1064,504,774,309,497,129,2395,0,0,0,0,0,0,25,9,34,13,4,12,5,18,6,6900,133647,The Palace of Auburn Hills,fordch01w,0,32,32,956,344,99,235,334,27,32,31,79,109,270,128,129,88,0,0,1,8,8,232,67,25,55,80,4,11,6,10,30,74,24,23,19,0,0,0,Rookie of the Year,laimbbi01w,0,25,9,6,2,6,2,F,0,0,75.0,198,Louisiana Tech,,1981-06-06,0000-00-00
8,WNBA,DET,DET,EA,,1,Y,0,W,W,L,Detroit Shock,972,2261,595,785,158,442,380,931,1311,563,702,227,564,117,2697,895,2262,547,718,203,610,309,780,1089,546,767,276,529,117,2540,0,0,0,0,0,0,24,10,34,12,5,12,5,14,6,6850,165738,The Palace of Auburn Hills,fordch01w,0,15,15,460,195,48,120,168,22,28,11,42,54,143,71,83,53,0,0,0,10,8,228,69,33,59,92,4,5,3,14,32,65,27,33,15,1,0,0,All-Star Game Most Valuable Player,laimbbi01w,0,24,10,6,5,6,5,F,0,0,75.0,198,Louisiana Tech,,1981-06-06,0000-00-00
4,WNBA,DET,DET,EA,,1,Y,0,W,W,W,Detroit Shock,902,2004,624,882,125,323,379,851,1230,545,605,263,608,158,2553,911,2286,412,556,161,541,390,674,1064,504,774,309,497,129,2395,0,0,0,0,0,0,25,9,34,13,4,12,5,18,6,6900,133647,The Palace of Auburn Hills,rileyru01w,0,34,34,995,327,59,142,201,64,25,58,82,128,231,115,127,97,0,0,2,8,8,258,103,15,34,49,20,5,20,13,26,106,41,26,21,0,0,0,WNBA Finals Most Valuable Player,laimbbi01w,0,25,9,6,2,6,2,C,0,0,77.0,198,Notre Dame,,1979-08-28,0000-00-00
7,WNBA,DET,DET,EA,,2,Y,0,W,W,W,Detroit Shock,919,2220,553,746,136,414,406,880,1286,572,711,213,537,137,2527,840,2165,529,702,175,561,324,760,1084,474,733,275,506,108,2384,0,0,0,0,0,0,23,11,34,14,3,9,8,14,6,6825,159453,The Palace of Auburn Hills,nolande01w,0,34,34,1088,468,32,121,153,124,47,11,86,79,425,172,100,85,113,39,1,10,10,357,178,8,33,41,39,16,2,27,19,148,72,30,25,21,9,0,WNBA Finals Most Valuable Player,laimbbi01w,0,23,11,7,3,7,3,G-F,0,0,69.0,147,Georgia,,1979-08-25,0000-00-00
7,WNBA,DET,DET,EA,,2,Y,0,W,W,W,Detroit Shock,919,2220,553,746,136,414,406,880,1286,572,711,213,537,137,2527,840,2165,529,702,175,561,324,760,1084,474,733,275,506,108,2384,0,0,0,0,0,0,23,11,34,14,3,9,8,14,6,6825,159453,The Palace of Auburn Hills,smithka01w,0,34,34,1137,398,19,73,92,112,25,4,65,78,302,123,102,93,161,59,0,10,10,371,147,7,18,25,40,5,0,24,29,117,51,34,25,50,20,0,WNBA All-Decade Team,laimbbi01w,0,23,11,7,3,7,3,G-F,0,0,71.0,174,Ohio State,,1974-06-04,0000-00-00
9,WNBA,DET,DET,EA,,1,Y,0,W,W,W,Detroit Shock,974,2295,556,744,168,476,405,843,1248,604,724,278,496,118,2672,872,2151,563,740,215,616,324,761,1085,520,762,229,572,119,2522,0,0,0,0,0,0,22,12,34,14,3,8,9,16,4,6875,162669,The Palace of Auburn Hills,smithka01w,0,34,34,1152,500,10,84,94,137,32,3,80,70,410,157,124,110,211,76,0,9,9,309,138,4,32,36,22,4,1,16,21,117,48,33,25,48,17,0,WNBA Finals Most Valuable Player,laimbbi01w,0,22,12,7,2,7,2,G-F,0,0,71.0,174,Ohio State,,1974-06-04,0000-00-00
8,WNBA,DET,DET,EA,,1,Y,0,W,W,L,Detroit Shock,972,2261,595,785,158,442,380,931,1311,563,702,227,564,117,2697,895,2262,547,718,203,610,309,780,1089,546,767,276,529,117,2540,0,0,0,0,0,0,24,10,34,12,5,12,5,14,6,6850,165738,The Palace of Auburn Hills,pierspl01w,0,34,0,858,396,70,127,197,59,26,29,79,110,312,149,130,98,5,0,5,11,1,281,123,32,47,79,18,7,12,28,43,109,46,41,30,2,1,2,Sixth Woman of the Year,laimbbi01w,0,24,10,6,5,6,5,F-C,0,0,74.0,181,Texas Tech,,1981-08-30,0000-00-00
1,WNBA,HOU,HOU,WE,,2,Y,0,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,0,0,0,0,0,0,27,5,32,14,2,13,3,17,4,6475,196077,Compaq Center,coopecy01w,0,31,31,1085,550,17,68,85,156,39,6,99,61,392,180,168,147,121,43,0,6,6,228,136,5,10,15,22,9,1,18,11,119,45,39,35,32,11,0,WNBA Finals Most Valuable Player,chancva99w,0,27,5,6,0,6,0,G,0,0,70.0,150,USC,,1963-04-14,0000-00-00
1,WNBA,HOU,HOU,WE,,2,Y,0,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,0,0,0,0,0,0,27,5,32,14,2,13,3,17,4,6475,196077,Compaq Center,swoopsh01w,0,31,31,1090,643,40,155,195,119,87,33,82,67,484,245,145,119,91,34,0,6,6,220,113,9,25,34,19,17,0,12,11,87,41,29,23,17,8,0,Defensive Player of the Year,chancva99w,0,27,5,6,0,6,0,F-G,0,0,72.0,145,Texas Tech,,1971-03-25,0000-00-00
1,WNBA,HOU,HOU,WE,,2,Y,0,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,0,0,0,0,0,0,27,5,32,14,2,13,3,17,4,6475,196077,Compaq Center,swoopsh01w,0,31,31,1090,643,40,155,195,119,87,33,82,67,484,245,145,119,91,34,0,6,6,220,113,9,25,34,19,17,0,12,11,87,41,29,23,17,8,0,Most Valuable Player,chancva99w,0,27,5,6,0,6,0,F-G,0,0,72.0,145,Texas Tech,,1971-03-25,0000-00-00
3,WNBA,HOU,HOU,WE,,2,Y,0,L,,,Houston Comets,755,1778,453,585,109,332,299,702,1001,450,467,260,455,126,2072,705,1880,331,452,151,489,309,664,973,446,606,262,464,71,1892,0,0,0,0,0,0,24,8,32,14,2,10,6,16,5,6425,188648,Compaq Center,swoopsh01w,0,32,32,1154,592,30,128,158,107,88,23,87,50,509,221,154,127,80,23,0,3,3,127,73,10,12,22,17,12,2,8,7,63,25,25,20,9,3,0,Defensive Player of the Year,chancva99w,0,24,8,1,2,1,2,F-G,0,0,72.0,145,Texas Tech,,1971-03-25,0000-00-00
3,WNBA,HOU,HOU,WE,,2,Y,0,L,,,Houston Comets,755,1778,453,585,109,332,299,702,1001,450,467,260,455,126,2072,705,1880,331,452,151,489,309,664,973,446,606,262,464,71,1892,0,0,0,0,0,0,24,8,32,14,2,10,6,16,5,6425,188648,Compaq Center,swoopsh01w,0,32,32,1154,592,30,128,158,107,88,23,87,50,509,221,154,127,80,23,0,3,3,127,73,10,12,22,17,12,2,8,7,63,25,25,20,9,3,0,Most Valuable Player,chancva99w,0,24,8,1,2,1,2,F-G,0,0,72.0,145,Texas Tech,,1971-03-25,0000-00-00
4,WNBA,HOU,HOU,WE,,2,Y,0,L,,,Houston Comets,828,1916,473,600,115,344,266,764,1030,465,490,231,450,129,2244,824,2030,325,448,169,500,298,708,1006,516,634,227,430,122,2142,0,0,0,0,0,0,20,14,34,14,3,6,11,14,10,6825,150203,Compaq Center,swoopsh01w,0,31,30,1084,484,32,111,143,121,77,26,73,48,434,175,124,110,79,24,0,3,3,110,56,2,17,19,13,4,2,5,8,46,20,16,15,10,1,0,Defensive Player of the Year,chancva99w,0,20,14,1,2,1,2,F-G,0,0,72.0,145,Texas Tech,,1971-03-25,0000-00-00
6,WNBA,HOU,HOU,WE,,3,Y,0,W,L,,Houston Comets,860,1920,527,690,62,205,276,684,960,467,581,246,425,105,2309,848,1944,419,559,148,423,274,687,961,541,685,197,481,111,2263,0,0,0,0,0,0,19,15,34,11,6,8,9,11,11,6875,120676,Toyota Center,swoopsh01w,0,33,33,1225,614,27,92,119,141,66,26,72,54,486,217,180,153,75,27,0,5,5,189,92,8,20,28,19,7,2,15,17,87,35,21,17,14,5,0,All-Star Game Most Valuable Player,chancva99w,0,19,15,2,3,2,3,F-G,0,0,72.0,145,Texas Tech,,1971-03-25,0000-00-00
6,WNBA,HOU,HOU,WE,,3,Y,0,W,L,,Houston Comets,860,1920,527,690,62,205,276,684,960,467,581,246,425,105,2309,848,1944,419,559,148,423,274,687,961,541,685,197,481,111,2263,0,0,0,0,0,0,19,15,34,11,6,8,9,11,11,6875,120676,Toyota Center,swoopsh01w,0,33,33,1225,614,27,92,119,141,66,26,72,54,486,217,180,153,75,27,0,5,5,189,92,8,20,28,19,7,2,15,17,87,35,21,17,14,5,0,Most Valuable Player,chancva99w,0,19,15,2,3,2,3,F-G,0,0,72.0,145,Texas Tech,,1971-03-25,0000-00-00
7,WNBA,HOU,HOU,WE,,3,Y,0,L,,,Houston Comets,928,2098,482,678,169,472,303,822,1125,532,617,252,566,84,2507,928,2232,445,615,148,496,337,787,1124,526,705,298,519,89,2449,0,0,0,0,0,0,18,16,34,12,5,6,11,11,9,6925,130586,Toyota Center,swoopsh01w,0,31,31,1111,482,34,149,183,115,64,9,74,46,436,180,127,97,90,25,0,2,2,62,22,0,5,5,3,2,2,2,2,18,7,8,7,6,1,0,WNBA All-Decade Team,chancva99w,0,18,16,0,2,0,2,F-G,0,0,72.0,145,Texas Tech,,1971-03-25,0000-00-00
1,WNBA,HOU,HOU,WE,,2,Y,0,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,0,0,0,0,0,0,27,5,32,14,2,13,3,17,4,6475,196077,Compaq Center,thompti01w,0,32,32,1087,540,68,177,245,48,47,25,84,88,407,191,123,103,132,55,0,6,6,233,76,17,31,48,10,5,5,10,19,62,25,18,17,23,9,0,All-Star Game Most Valuable Player,chancva99w,0,27,5,6,0,6,0,F,0,0,74.0,178,USC,,1975-02-10,0000-00-00
7,WNBA,HOU,HOU,WE,,3,Y,0,L,,,Houston Comets,928,2098,482,678,169,472,303,822,1125,532,617,252,566,84,2507,928,2232,445,615,148,496,337,787,1124,526,705,298,519,89,2449,0,0,0,0,0,0,18,16,34,12,5,6,11,11,9,6925,130586,Toyota Center,thompti01w,0,21,21,696,392,31,87,118,47,20,13,52,53,304,139,92,74,96,40,0,2,2,63,27,3,2,5,3,2,1,5,7,21,8,9,9,5,2,0,WNBA All-Decade Team,chancva99w,0,18,16,0,2,0,2,F,0,0,74.0,178,USC,,1975-02-10,0000-00-00
2,WNBA,HOU,HOU,WE,,4,Y,0,L,,,Houston Comets,747,1908,415,539,138,435,348,710,1058,426,509,251,436,95,2047,740,1883,362,504,152,456,297,685,982,452,561,248,433,120,1994,0,0,0,0,0,0,19,13,32,11,5,8,8,13,8,6450,181115,Compaq Center,arcaija01w,0,32,32,1154,591,49,87,136,94,60,3,83,82,509,217,150,135,66,22,1,2,2,71,29,2,9,11,5,2,0,5,5,34,13,2,2,8,1,0,Most Improved Player,chancva99w,0,19,13,0,2,0,2,G,0,0,71.0,147,none,,1969-04-11,0000-00-00
4,WNBA,HOU,HOU,WE,,2,Y,0,L,,,Houston Comets,828,1916,473,600,115,344,266,764,1030,465,490,231,450,129,2244,824,2030,325,448,169,500,298,708,1006,516,634,227,430,122,2142,0,0,0,0,0,0,20,14,34,14,3,6,11,14,10,6825,150203,Compaq Center,snowmi01w,0,34,34,1025,314,76,187,263,42,35,62,68,120,253,126,85,62,1,0,2,3,3,89,25,12,17,29,5,4,4,5,10,25,10,8,5,0,0,0,Most Improved Player,chancva99w,0,20,14,1,2,1,2,C,0,0,77.0,158,Tennessee,,1980-03-20,0000-00-00
7,WNBA,HOU,HOU,WE,,3,Y,0,L,,,Houston Comets,928,2098,482,678,169,472,303,822,1125,532,617,252,566,84,2507,928,2232,445,615,148,496,337,787,1124,526,705,298,519,89,2449,0,0,0,0,0,0,18,16,34,12,5,6,11,11,9,6925,130586,Toyota Center,staleda01w,0,34,34,1018,250,14,61,75,133,35,5,76,50,200,84,36,29,124,53,0,2,2,40,3,1,4,5,2,0,0,4,1,7,1,0,0,3,1,0,Kim Perrot Sportsmanship Award,chancva99w,0,18,16,0,2,0,2,G,0,0,66.0,134,Virginia,,1970-05-04,0000-00-00
7,WNBA,HOU,HOU,WE,,3,Y,0,L,,,Houston Comets,928,2098,482,678,169,472,303,822,1125,532,617,252,566,84,2507,928,2232,445,615,148,496,337,787,1124,526,705,298,519,89,2449,0,0,0,0,0,0,18,16,34,12,5,6,11,11,9,6925,130586,Toyota Center,staleda01w,0,34,34,1018,250,14,61,75,133,35,5,76,50,200,84,36,29,124,53,0,2,2,40,3,1,4,5,2,0,0,4,1,7,1,0,0,3,1,0,WNBA All-Decade Team,chancva99w,0,18,16,0,2,0,2,G,0,0,66.0,134,Virginia,,1970-05-04,0000-00-00
3,WNBA,IND,IND,EA,,4,Y,0,L,,,Indiana Fever,731,1825,455,580,180,543,315,633,948,447,559,268,438,100,2097,804,1817,359,503,162,464,288,644,932,507,647,226,470,145,2129,0,0,0,0,0,0,16,16,32,10,6,6,10,12,9,6425,134945,Conseco Fieldhouse,catchta01w,0,32,32,1167,594,92,184,276,118,94,43,82,105,439,184,184,150,193,76,2,3,3,103,61,12,20,32,7,4,1,11,7,45,22,11,9,21,8,0,Rookie of the Year,fortnne99w,0,16,16,1,2,1,2,F,0,0,73.0,167,Tennessee,,1979-07-21,0000-00-00
6,WNBA,IND,IND,EA,,2,Y,0,W,L,,Indiana Fever,784,1958,452,595,150,468,341,671,1012,493,668,336,477,95,2170,775,1798,460,642,123,367,279,711,990,435,644,234,558,113,2133,0,0,0,0,0,0,21,13,34,14,3,7,10,14,6,6925,142494,Conseco Fieldhouse,catchta01w,0,34,34,1174,501,69,195,264,143,90,16,91,96,410,157,193,152,123,35,1,4,4,146,69,13,24,37,9,8,1,11,13,59,21,28,22,12,5,1,Defensive Player of the Year,wintebr01w,0,21,13,2,2,2,2,F,0,0,73.0,167,Tennessee,,1979-07-21,0000-00-00
7,WNBA,IND,IND,EA,,3,Y,0,L,,,Indiana Fever,873,2144,518,676,171,551,339,755,1094,501,606,354,528,93,2435,883,2043,413,559,137,444,288,773,1061,507,685,259,617,105,2316,0,0,0,0,0,0,21,13,34,12,5,9,8,12,8,6850,122768,Conseco Fieldhouse,catchta01w,0,32,32,1071,521,68,172,240,119,94,35,79,90,398,162,204,165,107,32,0,2,2,62,28,2,10,12,7,2,1,6,8,31,10,6,4,8,4,0,Defensive Player of the Year,wintebr01w,0,21,13,0,2,0,2,F,0,0,73.0,167,Tennessee,,1979-07-21,0000-00-00
7,WNBA,IND,IND,EA,,3,Y,0,L,,,Indiana Fever,873,2144,518,676,171,551,339,755,1094,501,606,354,528,93,2435,883,2043,413,559,137,444,288,773,1061,507,685,259,617,105,2316,0,0,0,0,0,0,21,13,34,12,5,9,8,12,8,6850,122768,Conseco Fieldhouse,catchta01w,0,32,32,1071,521,68,172,240,119,94,35,79,90,398,162,204,165,107,32,0,2,2,62,28,2,10,12,7,2,1,6,8,31,10,6,4,8,4,0,WNBA All-Decade Team,wintebr01w,0,21,13,0,2,0,2,F,0,0,73.0,167,Tennessee,,1979-07-21,0000-00-00
10,WNBA,IND,IND,EA,,1,Y,0,W,W,L,Indiana Fever,890,2212,613,746,213,637,342,780,1122,527,692,373,531,117,2606,909,2118,529,692,154,483,318,849,1167,498,700,271,638,116,2501,0,0,0,0,0,0,22,12,34,14,3,8,9,17,5,6925,134964,Conseco Fieldhouse,catchta01w,0,34,34,1084,512,86,159,245,107,99,18,88,92,407,157,181,158,122,40,0,10,10,357,172,24,80,104,54,33,14,34,34,122,56,60,51,36,9,1,Defensive Player of the Year,dunnli99wc,0,22,12,6,4,6,4,F,0,0,73.0,167,Tennessee,,1979-07-21,0000-00-00
8,WNBA,IND,IND,EA,,2,Y,0,W,L,,Indiana Fever,907,2167,478,617,188,546,341,812,1153,511,646,308,589,136,2480,881,2192,450,608,158,483,369,795,1164,475,663,280,610,114,2370,0,0,0,0,0,0,21,13,34,12,5,9,8,12,8,6875,133915,Conseco Fieldhouse,beviltu01w,0,34,34,901,180,15,60,75,92,56,2,53,88,150,66,22,15,89,33,0,6,6,215,44,5,11,16,19,11,0,8,17,44,13,12,10,28,8,1,Kim Perrot Sportsmanship Award,wintebr01w,0,21,13,3,3,3,3,G,0,0,67.0,145,,,1972-07-19,0000-00-00
9,WNBA,IND,IND,EA,,4,Y,0,L,,,Indiana Fever,876,2179,495,656,226,662,349,778,1127,500,727,324,585,165,2473,891,2127,540,706,135,415,338,833,1171,477,659,294,608,130,2457,0,0,0,0,0,0,17,17,34,11,6,6,11,12,8,6950,130941,Conseco Fieldhouse,hoffmeb01w,0,33,33,1013,342,94,164,258,61,47,26,79,121,303,141,41,34,57,26,3,3,3,102,34,4,21,25,5,6,2,3,11,33,14,3,2,11,4,0,Most Improved Player,dunnli99wc,0,17,17,1,2,1,2,F,0,0,74.0,215,USC,,1982-08-27,0000-00-00
2,WNBA,LAS,LAS,WE,,1,Y,0,W,W,W,Los Angeles Sparks,916,2031,449,594,160,436,350,755,1105,596,616,281,438,138,2441,779,1985,416,547,192,603,294,627,921,538,591,234,453,114,2166,0,0,0,0,0,0,28,4,32,16,0,12,4,19,2,6475,148446,Staples Center,leslili01w,0,31,31,1033,606,88,210,298,73,34,71,98,132,467,221,193,142,60,22,3,7,7,260,156,28,58,86,21,12,31,26,22,118,58,50,37,7,3,0,All-Star Game Most Valuable Player,coopemi01w,0,28,4,6,1,6,1,C,0,0,77.0,170,USC,,1972-07-07,0000-00-00
2,WNBA,LAS,LAS,WE,,1,Y,0,W,W,W,Los Angeles Sparks,916,2031,449,594,160,436,350,755,1105,596,616,281,438,138,2441,779,1985,416,547,192,603,294,627,921,538,591,234,453,114,2166,0,0,0,0,0,0,28,4,32,16,0,12,4,19,2,6475,148446,Staples Center,leslili01w,0,31,31,1033,606,88,210,298,73,34,71,98,132,467,221,193,142,60,22,3,7,7,260,156,28,58,86,21,12,31,26,22,118,58,50,37,7,3,0,Most Valuable Player,coopemi01w,0,28,4,6,1,6,1,C,0,0,77.0,170,USC,,1972-07-07,0000-00-00
