year,lgID,tmID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won_x,lost_x,GP_x,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,playerID,stint_x,GP_y,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,award,coachID,stint_y,won_y,lost_y,post_wins,post_losses,W,L,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,deathDate
2,WNBA,LAS,LAS,WE,,1,Y,0,W,W,W,Los Angeles Sparks,916,2031,449,594,160,436,350,755,1105,596,616,281,438,138,2441,779,1985,416,547,192,603,294,627,921,538,591,234,453,114,2166,0,0,0,0,0,0,28,4,32,16,0,12,4,19,2,6475,148446,Staples Center,leslili01w,0,31,31,1033,606,88,210,298,73,34,71,98,132,467,221,193,142,60,22,3,7,7,260,156,28,58,86,21,12,31,26,22,118,58,50,37,7,3,0,WNBA Finals Most Valuable Player,coopemi01w,0,28,4,6,1,6,1,C,0,0,77.0,170,USC,,1972-07-07,0000-00-00
3,WNBA,LAS,LAS,WE,,1,Y,0,W,W,W,Los Angeles Sparks,891,2002,476,645,194,515,329,814,1143,583,664,257,517,161,2452,796,2040,480,649,163,521,314,645,959,508,623,275,453,111,2235,0,0,0,0,0,0,25,7,32,12,4,13,3,17,4,6475,186410,Staples Center,leslili01w,0,31,31,1060,523,78,244,322,83,46,90,108,123,406,189,183,133,37,12,7,6,6,232,116,10,37,47,11,11,17,8,22,86,46,26,19,8,5,0,All-Star Game Most Valuable Player,coopemi01w,0,25,7,6,0,6,0,C,0,0,77.0,170,USC,,1972-07-07,0000-00-00
3,WNBA,LAS,LAS,WE,,1,Y,0,W,W,W,Los Angeles Sparks,891,2002,476,645,194,515,329,814,1143,583,664,257,517,161,2452,796,2040,480,649,163,521,314,645,959,508,623,275,453,111,2235,0,0,0,0,0,0,25,7,32,12,4,13,3,17,4,6475,186410,Staples Center,leslili01w,0,31,31,1060,523,78,244,322,83,46,90,108,123,406,189,183,133,37,12,7,6,6,232,116,10,37,47,11,11,17,8,22,86,46,26,19,8,5,0,WNBA Finals Most Valuable Player,coopemi01w,0,25,7,6,0,6,0,C,0,0,77.0,170,USC,,1972-07-07,0000-00-00
5,WNBA,LAS,LAS,WE,,1,Y,0,L,,,Los Angeles Sparks,904,2069,530,722,157,414,312,809,1121,626,731,262,529,148,2495,815,2095,557,761,174,511,339,727,1066,532,704,288,523,114,2361,0,0,0,0,0,0,25,9,34,15,2,10,7,16,6,6975,177269,Staples Center,leslili01w,0,34,34,1150,598,60,276,336,88,50,98,110,130,451,223,205,146,22,6,5,3,3,110,34,4,22,26,2,1,8,8,10,31,14,8,6,0,0,0,Defensive Player of the Year,coopemi01w,1,14,6,0,0,1,2,C,0,0,77.0,170,USC,,1972-07-07,0000-00-00
5,WNBA,LAS,LAS,WE,,1,Y,0,L,,,Los Angeles Sparks,904,2069,530,722,157,414,312,809,1121,626,731,262,529,148,2495,815,2095,557,761,174,511,339,727,1066,532,704,288,523,114,2361,0,0,0,0,0,0,25,9,34,15,2,10,7,16,6,6975,177269,Staples Center,leslili01w,0,34,34,1150,598,60,276,336,88,50,98,110,130,451,223,205,146,22,6,5,3,3,110,34,4,22,26,2,1,8,8,10,31,14,8,6,0,0,0,Defensive Player of the Year,thompka99w,2,11,3,1,2,1,2,C,0,0,77.0,170,USC,,1972-07-07,0000-00-00
5,WNBA,LAS,LAS,WE,,1,Y,0,L,,,Los Angeles Sparks,904,2069,530,722,157,414,312,809,1121,626,731,262,529,148,2495,815,2095,557,761,174,511,339,727,1066,532,704,288,523,114,2361,0,0,0,0,0,0,25,9,34,15,2,10,7,16,6,6975,177269,Staples Center,leslili01w,0,34,34,1150,598,60,276,336,88,50,98,110,130,451,223,205,146,22,6,5,3,3,110,34,4,22,26,2,1,8,8,10,31,14,8,6,0,0,0,Defensive Player of the Year,weisery99w,2,11,3,1,2,1,2,C,0,0,77.0,170,USC,,1972-07-07,0000-00-00
5,WNBA,LAS,LAS,WE,,1,Y,0,L,,,Los Angeles Sparks,904,2069,530,722,157,414,312,809,1121,626,731,262,529,148,2495,815,2095,557,761,174,511,339,727,1066,532,704,288,523,114,2361,0,0,0,0,0,0,25,9,34,15,2,10,7,16,6,6975,177269,Staples Center,leslili01w,0,34,34,1150,598,60,276,336,88,50,98,110,130,451,223,205,146,22,6,5,3,3,110,34,4,22,26,2,1,8,8,10,31,14,8,6,0,0,0,Most Valuable Player,coopemi01w,1,14,6,0,0,1,2,C,0,0,77.0,170,USC,,1972-07-07,0000-00-00
5,WNBA,LAS,LAS,WE,,1,Y,0,L,,,Los Angeles Sparks,904,2069,530,722,157,414,312,809,1121,626,731,262,529,148,2495,815,2095,557,761,174,511,339,727,1066,532,704,288,523,114,2361,0,0,0,0,0,0,25,9,34,15,2,10,7,16,6,6975,177269,Staples Center,leslili01w,0,34,34,1150,598,60,276,336,88,50,98,110,130,451,223,205,146,22,6,5,3,3,110,34,4,22,26,2,1,8,8,10,31,14,8,6,0,0,0,Most Valuable Player,thompka99w,2,11,3,1,2,1,2,C,0,0,77.0,170,USC,,1972-07-07,0000-00-00
5,WNBA,LAS,LAS,WE,,1,Y,0,L,,,Los Angeles Sparks,904,2069,530,722,157,414,312,809,1121,626,731,262,529,148,2495,815,2095,557,761,174,511,339,727,1066,532,704,288,523,114,2361,0,0,0,0,0,0,25,9,34,15,2,10,7,16,6,6975,177269,Staples Center,leslili01w,0,34,34,1150,598,60,276,336,88,50,98,110,130,451,223,205,146,22,6,5,3,3,110,34,4,22,26,2,1,8,8,10,31,14,8,6,0,0,0,Most Valuable Player,weisery99w,2,11,3,1,2,1,2,C,0,0,77.0,170,USC,,1972-07-07,0000-00-00
7,WNBA,LAS,LAS,WE,,1,Y,0,W,L,,Los Angeles Sparks,962,2195,540,726,111,377,350,852,1202,610,679,296,534,129,2575,873,2184,534,721,196,570,336,746,1082,565,636,284,556,128,2476,0,0,0,0,0,0,25,9,34,15,2,10,7,15,5,6825,141282,Staples Center,leslili01w,0,34,34,1043,680,83,240,323,108,51,57,126,115,503,257,243,158,20,8,4,5,5,163,63,12,24,36,9,4,8,17,20,65,20,29,22,3,1,0,Most Valuable Player,bryanjo01w,0,25,9,2,3,2,3,C,0,0,77.0,170,USC,,1972-07-07,0000-00-00
7,WNBA,LAS,LAS,WE,,1,Y,0,W,L,,Los Angeles Sparks,962,2195,540,726,111,377,350,852,1202,610,679,296,534,129,2575,873,2184,534,721,196,570,336,746,1082,565,636,284,556,128,2476,0,0,0,0,0,0,25,9,34,15,2,10,7,15,5,6825,141282,Staples Center,leslili01w,0,34,34,1043,680,83,240,323,108,51,57,126,115,503,257,243,158,20,8,4,5,5,163,63,12,24,36,9,4,8,17,20,65,20,29,22,3,1,0,WNBA All-Decade Team,bryanjo01w,0,25,9,2,3,2,3,C,0,0,77.0,170,USC,,1972-07-07,0000-00-00
9,WNBA,LAS,LAS,WE,,3,Y,0,W,L,,Los Angeles Sparks,954,2248,539,717,151,485,386,896,1282,613,713,251,608,216,2598,888,2310,562,751,185,547,359,768,1127,513,717,303,523,141,2523,0,0,0,0,0,0,20,14,34,12,5,8,9,12,8,7000,161639,Staples Center,leslili01w,0,33,33,1059,497,84,209,293,80,49,97,119,117,406,188,177,117,17,4,2,6,6,192,83,12,41,53,13,7,17,26,29,64,33,24,15,4,2,2,Defensive Player of the Year,coopemi01w,0,20,14,3,3,3,3,C,0,0,77.0,170,USC,,1972-07-07,0000-00-00
4,WNBA,LAS,LAS,WE,,1,Y,0,W,W,L,Los Angeles Sparks,894,2140,537,678,174,528,336,813,1149,587,682,242,470,161,2499,866,2147,504,702,196,540,316,789,1105,572,654,241,468,127,2432,0,0,0,0,0,0,24,10,34,11,6,13,4,17,7,6900,157934,Staples Center,teaslni01w,0,34,34,1189,392,30,145,175,214,39,15,108,68,288,112,112,98,165,70,0,9,9,312,70,11,29,40,71,12,0,27,23,67,22,20,16,45,10,0,All-Star Game Most Valuable Player,coopemi01w,0,24,10,5,4,5,4,G,0,0,72.0,169,North Carolina,,1979-03-22,0000-00-00
7,WNBA,LAS,LAS,WE,,1,Y,0,W,L,,Los Angeles Sparks,962,2195,540,726,111,377,350,852,1202,610,679,296,534,129,2575,873,2184,534,721,196,570,336,746,1082,565,636,284,556,128,2476,0,0,0,0,0,0,25,9,34,15,2,10,7,15,5,6825,141282,Staples Center,holdsch01w,0,25,0,739,375,57,95,152,56,34,9,57,58,315,148,86,76,15,3,0,3,1,45,13,4,7,11,4,1,2,3,3,18,6,0,0,2,1,0,WNBA All Decade Team Honorable Mention,bryanjo01w,0,25,9,2,3,2,3,F,0,0,74.0,172,Tennessee,,1977-08-09,0000-00-00
9,WNBA,LAS,LAS,WE,,3,Y,0,W,L,,Los Angeles Sparks,954,2248,539,717,151,485,386,896,1282,613,713,251,608,216,2598,888,2310,562,751,185,547,359,768,1127,513,717,303,523,141,2523,0,0,0,0,0,0,20,14,34,12,5,8,9,12,8,7000,161639,Staples Center,parkeca01w,0,33,33,1109,610,84,229,313,113,42,75,93,91,442,231,187,137,26,11,2,6,6,219,90,20,39,59,23,9,13,17,16,74,34,29,22,7,0,0,Most Valuable Player,coopemi01w,0,20,14,3,3,3,3,F,0,0,76.0,175,Tennessee,,1986-04-19,0000-00-00
9,WNBA,LAS,LAS,WE,,3,Y,0,W,L,,Los Angeles Sparks,954,2248,539,717,151,485,386,896,1282,613,713,251,608,216,2598,888,2310,562,751,185,547,359,768,1127,513,717,303,523,141,2523,0,0,0,0,0,0,20,14,34,12,5,8,9,12,8,7000,161639,Staples Center,parkeca01w,0,33,33,1109,610,84,229,313,113,42,75,93,91,442,231,187,137,26,11,2,6,6,219,90,20,39,59,23,9,13,17,16,74,34,29,22,7,0,0,Rookie of the Year,coopemi01w,0,20,14,3,3,3,3,F,0,0,76.0,175,Tennessee,,1986-04-19,0000-00-00
2,WNBA,MIA,MIA,EA,,3,Y,0,L,,,Miami Sol,754,1826,356,469,93,295,292,651,943,467,602,300,448,153,1957,679,1725,420,588,120,395,301,667,968,388,538,259,512,87,1898,0,0,0,0,0,0,20,12,32,10,6,10,6,14,7,6575,141717,AmericanAirlines Arena,blackde01w,0,32,32,946,180,43,83,126,123,82,2,51,69,187,70,48,37,20,3,0,3,3,95,14,7,9,16,11,5,1,4,7,18,7,0,0,3,0,0,Defensive Player of the Year,rothsro99w,0,20,12,1,2,1,2,G,0,0,63.0,124,St. Joseph's,,1966-07-29,0000-00-00
5,WNBA,MIN,MIN,WE,,3,Y,0,L,,,Minnesota Lynx,767,1900,454,640,177,542,332,724,1056,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,1036,508,676,333,502,133,2190,0,0,0,0,0,0,18,16,34,11,6,7,10,12,10,6850,125097,Target Center,edwarte01w,0,34,34,697,194,29,61,90,79,47,8,93,37,200,74,30,21,85,25,0,2,2,43,6,1,4,5,2,3,1,4,5,6,1,4,3,5,1,0,Kim Perrot Sportsmanship Award,mcconsu01w,0,18,16,0,2,0,2,G-F,0,0,71.0,155,Georgia,,1964-07-09,0000-00-00
1,WNBA,NYL,NYL,EA,,1,Y,0,W,W,L,New York Liberty,792,1815,429,567,135,396,288,652,940,477,617,246,474,102,2148,741,1822,437,590,116,420,320,647,967,462,645,223,479,94,2035,0,0,0,0,0,0,20,12,32,12,4,8,8,14,7,6425,231962,Madison Square Garden (IV),phillta01w,0,31,30,978,427,86,161,247,28,59,21,85,110,364,170,130,85,8,2,5,7,7,222,114,16,37,53,8,12,6,16,26,95,48,23,18,1,0,1,Most Improved Player,adubari99w,0,20,12,4,3,4,3,F-C,0,0,74.0,200,Central Florida,,1969-03-06,0000-00-00
2,WNBA,NYL,NYL,EA,,2,Y,0,W,L,,New York Liberty,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,0,0,0,0,0,0,21,11,32,13,3,8,8,13,8,6400,250565,Madison Square Garden (IV),wickssu01w,0,30,3,602,157,36,102,138,37,36,30,43,86,130,61,52,35,7,0,2,6,0,118,28,10,10,20,5,2,6,8,17,27,12,5,4,0,0,0,Kim Perrot Sportsmanship Award,adubari99w,0,21,11,3,3,3,3,F,0,0,75.0,191,Rutgers,,1966-11-26,0000-00-00
8,WNBA,NYL,NYL,EA,,4,Y,0,L,,,New York Liberty,870,2087,430,580,243,653,287,788,1075,500,618,289,612,109,2413,920,2223,471,619,190,589,378,837,1215,509,608,321,562,115,2501,0,0,0,0,0,0,16,18,34,10,7,6,11,10,10,6850,147866,Madison Square Garden (IV),mccarja01w,0,32,21,677,332,45,107,152,36,39,20,79,72,249,136,72,60,1,0,1,3,3,98,42,3,14,17,10,8,4,9,13,41,17,14,8,0,0,0,Most Improved Player,coylepa99w,0,16,18,1,2,1,2,C,0,0,74.0,205,Minnesota,,1982-11-03,0000-00-00
8,WNBA,PHO,PHO,WE,,1,Y,0,W,W,W,Phoenix Mercury,1063,2419,616,754,283,802,279,873,1152,683,658,285,486,159,3025,1022,2526,570,716,290,762,445,945,1390,628,684,244,595,109,2904,0,0,0,0,0,0,23,11,34,12,5,11,6,17,5,6850,131524,US Airways Center,pondeca01w,0,31,31,966,532,15,97,112,123,29,8,69,59,448,193,135,110,108,36,0,9,9,300,215,11,32,43,52,11,1,17,14,160,74,63,55,38,12,0,WNBA Finals Most Valuable Player,westhpa99w,0,23,11,7,2,7,2,G,0,0,69.0,160,Rutgers,,1983-01-07,0000-00-00
10,WNBA,PHO,PHO,WE,,1,Y,0,W,W,W,Phoenix Mercury,1128,2454,643,752,257,665,284,906,1190,625,740,225,500,181,3156,1094,2582,638,851,205,608,421,864,1285,607,671,260,460,143,3031,0,0,0,0,0,0,23,11,34,12,5,11,6,13,7,6900,144884,US Airways Center,bonnede01w,0,34,0,724,381,70,126,196,13,23,25,34,70,278,127,154,125,13,2,0,11,0,186,97,17,30,47,3,5,6,7,13,69,34,35,29,1,0,0,Sixth Woman of the Year,gaineco01w,0,23,11,7,4,7,4,G,0,0,76.0,136,Auburn,,1987-08-21,0000-00-00
10,WNBA,PHO,PHO,WE,,1,Y,0,W,W,W,Phoenix Mercury,1128,2454,643,752,257,665,284,906,1190,625,740,225,500,181,3156,1094,2582,638,851,205,608,421,864,1285,607,671,260,460,143,3031,0,0,0,0,0,0,23,11,34,12,5,11,6,13,7,6900,144884,US Airways Center,tauradi01w,0,31,31,976,631,18,160,178,109,36,43,82,95,434,200,170,152,194,79,0,11,11,362,245,9,56,65,42,8,14,33,41,182,82,56,50,85,31,2,Most Valuable Player,gaineco01w,0,23,11,7,4,7,4,F-G,0,0,72.0,172,Connecticut,,1982-06-11,0000-00-00
10,WNBA,PHO,PHO,WE,,1,Y,0,W,W,W,Phoenix Mercury,1128,2454,643,752,257,665,284,906,1190,625,740,225,500,181,3156,1094,2582,638,851,205,608,421,864,1285,607,671,260,460,143,3031,0,0,0,0,0,0,23,11,34,12,5,11,6,13,7,6900,144884,US Airways Center,tauradi01w,0,31,31,976,631,18,160,178,109,36,43,82,95,434,200,170,152,194,79,0,11,11,362,245,9,56,65,42,8,14,33,41,182,82,56,50,85,31,2,WNBA Finals Most Valuable Player,gaineco01w,0,23,11,7,4,7,4,F-G,0,0,72.0,172,Connecticut,,1982-06-11,0000-00-00
4,WNBA,SAC,SAC,WE,,3,Y,0,W,L,,Sacramento Monarchs,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,0,0,0,0,0,0,19,15,34,12,5,7,10,13,11,6825,155578,ARCO Arena (II),campbed01w,0,34,34,724,267,17,53,70,43,21,5,43,42,244,98,33,25,111,46,0,6,6,148,40,1,3,4,11,1,0,8,11,36,17,2,2,16,4,0,Kim Perrot Sportsmanship Award,mchugma99w,1,7,11,0,0,3,3,G,0,0,68.0,152,Texas,,1968-11-26,0000-00-00
4,WNBA,SAC,SAC,WE,,3,Y,0,W,L,,Sacramento Monarchs,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,0,0,0,0,0,0,19,15,34,12,5,7,10,13,11,6825,155578,ARCO Arena (II),campbed01w,0,34,34,724,267,17,53,70,43,21,5,43,42,244,98,33,25,111,46,0,6,6,148,40,1,3,4,11,1,0,8,11,36,17,2,2,16,4,0,Kim Perrot Sportsmanship Award,whisejo99w,2,12,4,3,3,3,3,G,0,0,68.0,152,Texas,,1968-11-26,0000-00-00
6,WNBA,SAC,SAC,WE,,1,Y,0,W,W,W,Sacramento Monarchs,853,1986,494,721,129,360,369,674,1043,527,684,304,500,108,2329,751,1823,478,653,113,376,273,694,967,463,723,235,622,132,2093,0,0,0,0,0,0,25,9,34,15,2,10,7,17,5,6800,145213,ARCO Arena (II),griffyo01w,0,34,33,962,469,87,136,223,52,42,31,68,98,357,173,174,123,0,0,0,8,8,246,138,27,39,66,11,10,4,10,20,108,53,45,32,0,0,0,WNBA Finals Most Valuable Player,whisejo99w,0,25,9,7,1,7,1,C-F,0,0,75.0,188,Florida Atlantic,,1970-03-01,0000-00-00
7,WNBA,SAC,SAC,WE,,2,Y,0,W,W,L,Sacramento Monarchs,919,2190,542,741,157,461,418,720,1138,509,670,330,542,88,2537,872,2021,504,661,156,507,294,725,1019,507,687,244,633,143,2404,0,0,0,0,0,0,21,13,34,14,3,7,10,10,10,6875,147739,ARCO Arena (II),griffyo01w,0,34,34,854,407,87,132,219,56,44,16,66,74,293,134,185,139,1,0,0,9,9,237,133,28,36,64,16,10,5,10,23,97,47,51,39,0,0,0,WNBA All-Decade Team,whisejo99w,0,21,13,6,3,6,3,C-F,0,0,75.0,188,Florida Atlantic,,1970-03-01,0000-00-00
7,WNBA,SAC,SAC,WE,,2,Y,0,W,W,L,Sacramento Monarchs,919,2190,542,741,157,461,418,720,1138,509,670,330,542,88,2537,872,2021,504,661,156,507,294,725,1019,507,687,244,633,143,2404,0,0,0,0,0,0,21,13,34,14,3,7,10,10,10,6875,147739,ARCO Arena (II),penicti01w,0,34,34,846,183,10,81,91,116,58,2,67,56,171,58,77,61,31,6,0,9,9,213,45,0,21,21,34,11,0,11,14,51,15,17,11,14,4,0,WNBA All Decade Team Honorable Mention,whisejo99w,0,21,13,6,3,6,3,G,0,0,71.0,145,Old Dominion,,1974-09-18,0000-00-00
9,WNBA,SAS,SAS,WE,,1,Y,0,W,W,L,San Antonio Silver Stars,901,2080,561,694,183,539,246,847,1093,601,602,272,525,150,2546,904,2271,471,634,139,483,389,817,1206,500,666,278,528,109,2418,0,0,0,0,0,0,24,10,34,15,2,9,8,10,10,6850,135722,AT&T Center,johnsvi01w,0,32,32,892,213,39,130,169,115,26,5,49,42,198,87,36,28,39,11,0,9,9,274,75,10,32,42,28,9,0,19,13,65,32,11,7,10,4,0,Kim Perrot Sportsmanship Award,hugheda99w,0,24,10,4,5,4,5,G-F,0,0,69.0,150,Louisiana Tech,,1972-04-15,0000-00-00
5,WNBA,SEA,SEA,WE,,2,Y,0,W,W,W,Seattle Storm,873,2025,524,676,167,439,350,709,1059,552,665,302,499,131,2437,851,1989,423,592,139,391,303,679,982,507,678,252,527,137,2264,0,0,0,0,0,0,20,14,34,13,4,7,10,13,9,6825,134291,KeyArena at Seattle Center,lennobe01w,0,32,32,920,358,28,131,159,79,34,3,77,89,330,139,68,58,83,22,0,8,8,251,117,4,25,29,21,8,1,23,21,97,44,24,21,18,8,0,WNBA Finals Most Valuable Player,donovan99w,0,20,14,6,2,6,2,G,0,0,68.0,143,Louisiana Tech,,1976-12-04,0000-00-00
7,WNBA,SEA,SEA,WE,,4,Y,0,L,,,Seattle Storm,961,2124,562,712,160,475,327,821,1148,514,682,232,570,127,2644,940,2218,531,707,164,484,322,709,1031,520,683,297,485,115,2575,0,0,0,0,0,0,18,16,34,9,8,9,8,10,10,6800,145664,KeyArena at Seattle Center,birdsu01w,0,34,34,1065,389,24,78,102,162,61,5,88,60,333,137,68,59,153,56,1,3,3,106,38,3,5,8,10,1,2,7,3,36,13,8,5,21,7,0,WNBA All-Decade Team,donovan99w,0,18,16,1,2,1,2,G,0,0,69.0,150,Connecticut,,1980-10-16,0000-00-00
7,WNBA,SEA,SEA,WE,,4,Y,0,L,,,Seattle Storm,961,2124,562,712,160,475,327,821,1148,514,682,232,570,127,2644,940,2218,531,707,164,484,322,709,1031,520,683,297,485,115,2575,0,0,0,0,0,0,18,16,34,9,8,9,8,10,10,6800,145664,KeyArena at Seattle Center,jacksla01w,0,30,30,848,585,70,160,230,48,24,51,40,90,361,193,189,170,77,29,1,3,3,91,54,4,20,24,2,2,7,5,8,28,15,24,22,7,2,0,WNBA All-Decade Team,donovan99w,0,18,16,1,2,1,2,F-C,0,0,77.0,187,,,1981-05-11,0000-00-00
8,WNBA,SEA,SEA,WE,,4,Y,0,L,,,Seattle Storm,964,2210,582,715,224,639,344,820,1164,533,620,242,533,151,2734,987,2321,478,586,195,528,333,761,1094,591,642,272,495,112,2647,0,0,0,0,0,0,17,17,34,12,5,5,12,11,11,6825,135553,KeyArena at Seattle Center,jacksla01w,0,31,31,1020,739,80,220,300,40,31,63,56,93,497,258,197,174,122,49,1,2,2,68,38,4,19,23,1,2,3,5,9,23,13,9,9,10,3,0,Defensive Player of the Year,donovan99w,0,17,17,0,2,0,2,F-C,0,0,77.0,187,,,1981-05-11,0000-00-00
8,WNBA,SEA,SEA,WE,,4,Y,0,L,,,Seattle Storm,964,2210,582,715,224,639,344,820,1164,533,620,242,533,151,2734,987,2321,478,586,195,528,333,761,1094,591,642,272,495,112,2647,0,0,0,0,0,0,17,17,34,12,5,5,12,11,11,6825,135553,KeyArena at Seattle Center,jacksla01w,0,31,31,1020,739,80,220,300,40,31,63,56,93,497,258,197,174,122,49,1,2,2,68,38,4,19,23,1,2,3,5,9,23,13,9,9,10,3,0,Most Valuable Player,donovan99w,0,17,17,0,2,0,2,F-C,0,0,77.0,187,,,1981-05-11,0000-00-00
10,WNBA,SEA,SEA,WE,,2,Y,0,L,,,Seattle Storm,909,2116,555,707,171,486,316,788,1104,536,710,276,555,150,2544,882,2150,510,671,202,585,332,746,1078,517,672,275,555,131,2476,0,0,0,0,0,0,20,14,34,13,4,7,10,13,7,7025,133858,KeyArena at Seattle Center,cashsw01w,0,32,29,1094,390,62,152,214,82,28,16,91,98,355,139,128,102,31,10,1,3,3,116,63,6,10,16,5,7,3,6,10,39,19,25,21,10,4,0,All-Star Game Most Valuable Player,aglerbr99w,0,20,14,1,2,1,2,F,0,0,73.0,162,Connecticut,,1979-09-22,0000-00-00
3,WNBA,WAS,WAS,EA,,3,Y,0,W,,,Washington Mystics,806,1910,359,478,164,443,330,708,1038,516,583,221,455,94,2135,786,1903,397,538,147,446,309,680,989,442,570,237,441,101,2116,0,0,0,0,0,0,17,15,32,9,7,8,8,12,9,6450,259237,Verizon Center,milleco01w,0,32,32,904,298,44,72,116,82,33,2,59,84,263,114,56,46,64,24,0,5,5,163,54,7,8,15,12,2,0,7,13,50,21,10,6,11,6,0,Most Improved Player,stanlma99w,0,17,15,3,2,3,2,G,0,0,69.0,140,Georgia,,1978-09-06,0000-00-00
10,WNBA,WAS,WAS,EA,,4,Y,0,L,,,Washington Mystics,933,2205,580,827,139,426,388,803,1191,453,725,314,607,118,2585,945,2184,570,755,162,478,322,789,1111,524,778,315,576,156,2622,0,0,0,0,0,0,16,18,34,11,6,5,12,10,12,6875,192747,Verizon Center,langhcr01w,0,34,22,1013,408,101,167,268,29,34,13,76,74,284,163,119,82,2,0,0,2,2,79,33,5,15,20,1,1,1,6,6,20,14,8,5,0,0,0,Most Improved Player,plankju99w,0,16,18,0,2,0,2,F-C,0,0,74.0,184,Maryland,,1986-10-27,0000-00-00
